Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude,Found,Quality,Source
Politics & General News,,darkblue,white,,<center><font size= 4>Ahora</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 19uu-.
<br><b>Location:</b> El Paso, Texas;  Nashville,Tennesse
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Quarterly
<br><b> Editor/Director/ Proprietor: </b> Casa Bautista de Publicaciones
","El Paso; Nashville, Texas; Tennesse",31.7804992,-106.4086838,"6140 Gateway Blvd E, El Paso, TX 79905, USA",Partial Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Ahora</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Ahora%20(New%20York).JPG?raw=true,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b> , New York
<br><b>Language</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Ahora Publishing Co. Inc.
"," , New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Aki Nueva York</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Aki%20(Nueva%20York).JPG?raw=true,"<p><b> Years: </b> 1955-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Enrique Ungria (Editor,publisher)/Daniel S. Ramos (Director)
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Al Día</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg,"<p><b> Years: </b> 1920-1uuu
<br><b>Location:</b>Tucson, Arizona
","Tucson, Arizona",32.2226066,-110.9747108,"Tucson, AZ, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alba de Nueva York</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alba%20de%20Nueva%20York%20(New%20York)%20.png?raw=true,"<p><b> Years: </b> 1954-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Emile Alcedo Mayore (Director)
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alba Roja</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1912-19uu
<br><b>Location:</b>McQueenley, Texas
<br><b>Language:</b> Spanish

","McQueenley, Texas",29.6000331,-98.0449628,"McQueeney, TX, USA",Partial Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alba Roja</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1905-19uu
<br><b>Location:</b>San Francisco, California
<br><b>Language:</b> Spanish
","San Francisco, California",37.7749295,-122.4194155,"San Francisco, CA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Albores Seráficos</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1930-19uu
<br><b>Location:</b>El Paso, Texas
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Quarterly
<br><b> Editor/Director/ Proprietor: </b> Roger Bacon College (Francsican Fathers)
","El Paso, Texas",31.7618778,-106.4850217,"El Paso, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Albuquerque</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1913-19uu
<br><b>Location:</b>Las Vegas, New Mexico
<br><b>Language:</b> Spanish; English
<br><b> Distribution: </b> Bi-weekly

","Las Vegas, New Mexico",35.5942137,-105.2227978,"Las Vegas, NM 87701, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Albuquerque Bandera Americana</center></Font>,"https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Albuquerque%20bandera%20Americana%20(Albuquerque,%20NM%20-%20Agosto%2010,%201901).PNG?raw=true","<p><b> Years: </b> 1895-1938
<br><b>Location:</b>Albuquerque, New Mexico
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> M. Salazar y Otero
","Albuquerque, New Mexico",35.0843859,-106.650422,"Albuquerque, NM, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Albuquerque Mirror</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1879-1uuu
<br><b>Location:</b>Albuquerque, New Mexico
<br><b>Language:</b> English; Spanish
<br><b> Distribution: </b> Weekly

","Albuquerque, New Mexico",35.0843859,-106.650422,"Albuquerque, NM, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alfa</center></Font>,"https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alfa%20(Kingsville,%20Tx%20Enero%201957).PNG?raw=true","<p><b> Years: </b> 19uu-1958
<br><b>Location:</b>Kinsgville, Texas
<br><b>Language:</b> Spanish 
<br><b> Distribution: </b> Monthly 
<br><b> Editor/Director/ Proprietor: </b> Presbiterian Pan-american School
","Kinsgville, Texas",27.5158689,-97.856109,"Kingsville, TX 78363, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alfa</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alfa%20(Laredo).JPG?raw=true,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b>Laredo, Texas
<br><b>Language:</b> Spanish 
<br><b> Editor/Director/ Proprietor: </b> Presbiterian Pan-american School
","Laredo, Texas",27.5035613,-99.5075519,"Laredo, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alfa y Omega</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alfa%20y%20Omega%20(Kingsville).JPG?raw=true,"<p><b> Years: </b> 1958-.
<br><b>Location:</b> Kingsville?, Texas; San Benito?, Texas
<br><b>Language:</b> Spanish
<br><b>Additional Information:</b> (Kingsville, Texas, 1932)

","Kingsville?; San Benito?, Texas",27.5158689,-97.856109,"Kingsville, TX 78363, USA",Partial Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alhambra</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b>1929-1930 
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish; English
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alianza</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1909-19uu
<br><b>Location:</b>Phoenix, Arizona
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly

","Phoenix, Arizona",33.4483771,-112.0740373,"Phoenix, AZ, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alianza</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alianza%20(Tucson).JPG?raw=true,"<p><b> Years: </b> 1907-19uu
<br><b>Location:</b>Tucson, Arizona
<br><b>Language:</b> Spanish
<br><b> Editor/Director/ Proprietor: </b> Jose Jordi
","Tucson, Arizona",32.2226066,-110.9747108,"Tucson, AZ, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alma</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1938-1941
<br><b>Location:</b>San Diego, Texas
<br><b> Editor/Director/ Proprietor: </b> Servando Cardenas
","San Diego, Texas",27.7639145,-98.2388953,"San Diego, TX 78384, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alma Azul</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1927-19uu
<br><b>Location:</b>Mercedes, Texas
<br><b> Editor/Director/ Proprietor: </b> Servando Cardenas
","Mercedes, Texas",26.1497977,-97.9136112,"Mercedes, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alma Boricua</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1934-1935?
<br><b>Location:</b>New York, New York

","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alma Latina</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1932-19uu
<br><b>Location:</b>Miami, Arizona

","Miami, Arizona",33.3992217,-110.8687232,"Miami, AZ 85539, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alma Latina</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1916-.
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Arts & Culture,,orange,white,,<center><Font size=4>Alma Latina: for the Interest of the Latin-American Children</center></Font>,https://raw.githubusercontent.com/gbventura/Hispanic_Periodicals/master/Newspaper/No%20Image%20.jpg,"<p><b> Years: </b> 1932-19uu
<br><b>Location:</b>San Antonio, Texas
<br><b>Language:</b> Spanish, English
<br><b> Distribution: </b> Irregular
","San Antonio, Texas",29.4241219,-98.4936282,"San Antonio, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alta California</center></Font>,"https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alta%20California%20-%20Later%20Daily%20Alta%20California%20(San%20Francisco,%20California).PNG?raw=true","<p><b> Years: </b> 1848-1880?
<br><b>Location:</b>San Francisco, California
<br><b>editor: </b> E. Gilbert & Co.
<br><b>Aditional information: </b> Original: Alta California - Later: Daily Alta California","San Francisco, California",37.7749295,-122.4194155,"San Francisco, CA, USA",Match,Google
Politics & General News,,darkblue,white,,"<center><font size= 4>Ambas Américas: Revista de Educación, Bibliografía y Agricultura</center></Font>",https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Ambas%20Ame%CC%81ricas%20(New%20York).JPG?raw=true,"<p><b> Years: </b>1867-1868
<br><b>Location:</b>, New York
<br><b>Language:</b>Spanish
<br><b> Distribution: </b> Quarterly
<br><b> Editor/Director/ Proprietor: </b>Halet y Breen Co./Domingo Faustino Sarmiento
",", New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>América</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1908–1922
<br><b>Location:</b>, New York
<br><b> Editor/Director/ Proprietor: </b> The Americas Publishing Co.
",", New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Professions/Industries,,green,white,,<center><font size= 4>América Clínica: Revista de Diagnóstico y Terapéutica</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1941?-1964
<br><b>Location:</b>, New York
",", New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Professions/Industries,,green,white,,<center><font size= 4>América Comercial</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b>Philadelphia, Pennsylvania
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly
","Philadelphia, Pennsylvania",39.9525839,-75.1652215,"Philadelphia, PA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>América Continental</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Ame%CC%81rica%20Continental%20(New%20York).JPG?raw=true,"<p><b> Years: </b> 1956-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Editor/Director/ Proprietor: </b> Carlos G. Chamizo (Editor)
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Arts & Culture,,darkblue,white,,<center><font size= 4>América Ilustrada</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Ame%CC%81rica%20Ilustrada%20(New%20York).JPG?raw=true,"<p><b> Years: </b> 187u?-1uuu
<br><b>Location:</b>, New York
<br><b>Language:</b> Spanish
<br><b> Editor/Director/ Proprietor: </b>J.L Delgado Borges (Editor) 
",", New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,orange,white,,<center><font size= 4>América Unida.</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1943-19uu
<br><b>Location:</b>New Orleans, Louisiana
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly
<br><b> Editor/Director/ Proprietor: </b> Jose Ortiz Monasterio (Editor)
 ","New Orleans, Louisiana",29.9510658,-90.0715323,"New Orleans, LA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>American Flag</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1861?-1864?
<br><b>Location:</b>Sonora, Tuolumne County, California
<br><b>Language:</b> Spanish, English
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> D.O. McCarthy (Editor)
","Sonora, Tuolumne County, California",37.9829496,-120.3821724,"Sonora, CA 95370, USA",Match,Google
Professions/Industries,,green,white,,<center><font size= 4>American Junior Red Cross News</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b>Washington, D.C
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly

","Washington, D.C",38.9071923,-77.0368707,"Washington, DC, USA",Match,Google
Arts & Culture,,orange,white,,<center><font size= 4>Americana</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Americana%20(New%20York).JPG?raw=true,"<p><b> Years: </b> 1947-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly; quarterly
<br><b> Editor/Director/ Proprietor: </b> Tranza de Gamez Losada (Director)/Ulramar Publication Inc.
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Americanos</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1957-1958
<br><b>Location:</b>New Orleans, Louisiana
<br><b>Language:</b> Spanish

","New Orleans, Louisiana",29.9510658,-90.0715323,"New Orleans, LA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Americans All</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1924-19uu
<br><b>Location:</b>Gary, Indiana
<br><b>Language:</b> Spanish; English; Italian
<br><b> Distribution: </b> Monthly
<br><b> Editor/Director/ Proprietor: </b> Nicolo Accomando (Editor)
","Gary, Indiana",41.6020403,-87.3371523,"Gary, IN, USA",Match,Google
